,Year,Month,Latitude,Longitude,Avg_Surface_Temp,Max_Temp,Min_Temp,Land_Temp,Ocean_Temp,Night_Temp,Day_Temp,Seasonal_Avg_Temp,Temp_Range,Temp_Std_Dev,CO2_Concentration,Methane_Level,Nitrous_Oxide_Level,Ozone_Concentration,Aerosol_Index,Sea_Surface_Temp,Ocean_Heat_Content,Sea_Level_Rise,Ocean_Salinity,Ocean_Current_Speed,Arctic_Ice_Extent,Antarctic_Ice_Extent,Glacier_Mass_Balance,Snow_Cover_Area,Atmospheric_Pressure,Relative_Humidity,Station_ID,Station_Name,Quality_Flag,Random_Text
count,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892.0,37892,37892,37892
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37891,3,37892
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QU2CA0,bad,TMY06X19
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12777,1
mean,1961.360339913438,6.536076216615644,0.16807926415844784,-0.4131688237467576,13.99703754913223,20.002441368855973,7.994385353226022,13.002431603126087,14.997812522643857,9.98623717013981,17.997523783713344,14.013694839271839,12.00805601562995,1.7460843781592061,379.83251593588193,1799.8765509784855,320.01480737561855,299.72606667356547,0.5013655818722249,16.008501160541453,200.21677850841854,2.9963786980350093,35.003313304998656,1.4976533825444334,5.993010889993437,11.998508501156829,-0.5022507802786447,24.934595066023544,1013.0009238091085,64.90904540537824,18946.5,,,
std,35.75023760801648,3.4286141971917505,51.791459435851664,104.24486441153881,1.9720789813827595,2.9918430365368045,2.003179743204907,1.992704716978923,1.5013030268453669,2.0026381446243793,2.509674282712041,1.7989859566698063,3.6068229668953764,0.7225790341839197,19.687662411056586,99.9737186681621,10.06617063856718,29.997246238819947,0.2889376184538622,1.474640017119779,30.017337317532405,0.49910480770679966,0.4993374911491862,0.8698654759249848,1.0006747932779767,1.9995119111919257,0.3016244964630011,4.984862385921228,9.95289431069843,19.797347978580298,10938.622536681663,,,
min,1900.0,1.0,-89.99848220196523,-179.99008923204178,6.001335501943897,8.616087681864236,-0.7480855976376652,4.172228067137418,8.39367905868427,1.497272881368712,7.988634351675694,6.236648746251509,-2.3809410253977283,0.500013118546637,300.3255855230399,1377.2768220424225,281.84489067286705,176.3491211997022,1.3326739778385388e-05,9.52399377823657,70.41605503144223,0.928785233605677,33.06348793164612,0.0001054331034084,2.071165532956471,4.396228088540714,-1.879084454925852,4.761370943030919,973.059324945179,30.000226742234844,1.0,,,
25%,1930.0,4.0,-44.57992973444398,-91.7091801470067,12.703430261627707,17.969816507760015,6.648535067973405,11.654274149184225,13.990217368671171,8.64163305894395,16.29441157307188,12.787104477917513,9.562015523739579,1.1227500739087906,366.76898671665094,1732.6066670768307,313.2282059106287,279.3491736252399,0.24971322232540186,15.033111235888414,179.8985799204068,2.661569977166298,34.665424157297025,0.7446565002115828,5.316790677746162,10.648469848497582,-0.7050774236103128,21.57773130527883,1006.26210021527,48.08433629085046,9473.75,,,
50%,1961.0,7.0,0.5275373621833808,0.15455135314844876,14.000333461976986,19.986203303575984,8.001280580864208,13.007700175837105,14.98869171209372,9.98017002811729,18.00812816576631,14.019721353595646,12.011135800524194,1.7389299542794463,379.9022875208439,1799.9530548873372,320.0353081101782,299.74245919471707,0.5000309153877374,16.02394319042584,200.35667894369533,2.994263388144983,35.00388115869746,1.497705223268289,5.991304973451909,11.999312863721801,-0.5014195759794147,24.939034910212285,1013.0295253096732,64.89854771863378,18946.5,,,
75%,1992.0,10.0,45.23929863594694,90.0291786514703,15.289900830559695,22.021879007036055,9.349442301566043,14.350173428335019,16.001807134322313,11.32777802813083,19.695881987720202,15.222751695352844,14.448691223503893,2.3709698259863456,392.91873439376934,1867.3366034017874,326.819524397671,320.0002135199052,0.7530151625606646,16.979358592361045,220.5836801950183,3.333513670695263,35.339430439443014,2.2540705478498473,6.667255041062824,13.360374411240777,-0.30169046306105285,28.30128331445199,1019.673173071527,81.68501458470755,28419.25,,,
max,2023.0,12.0,89.99225178637863,179.99713522906774,22.404051799532,33.68634417084468,15.564375697993285,20.72781197428885,21.329049515668714,17.756433755633857,27.795462553503484,20.781190118140746,28.036792140205147,2.999973579838443,460.3883819432565,2210.102040644611,361.5325742843019,440.3684730113017,0.9999928171345914,22.4673795558455,328.6967834624726,4.994972746739181,36.932896890548754,2.9999655017108955,9.581391066286034,19.93492191079941,0.8849151768315344,45.720474636258935,1052.4229739456905,99.99720954438833,37892.0,,,
